Blocks	Pathways
MED12*PIK3CA*RELA*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3CA*NFKB1*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3CA*RELA*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3CA*FOXO3*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CA*NFKB1*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CA*RELA*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CA*NFKB1*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3CA*RELA*BIRC5	hsa04919-hsa04926-TFTG
MED12*ACTB*BIRC5	hsa04919-hsa04390
MED12*ACTB*APC*BIRC5	hsa04919-hsa04390-TFTG
MED12*ACTB*LEF1*BIRC5	hsa04919-hsa04390-TFTG
MED12*ACTB*TCF7*BIRC5	hsa04919-hsa04390-TFTG
MED12*ACTB*TCF7L2*BIRC5	hsa04919-hsa04390-TFTG
MED12*WNT4*LEF1*BIRC5	hsa04919-hsa04310-TFTG
MED12*WNT4*TCF7*BIRC5	hsa04919-hsa04310-TFTG
MED12*WNT4*TCF7L2*BIRC5	hsa04919-hsa04310-TFTG
MED12*WNT4*BIRC5	hsa04919-hsa04390
MED12*WNT4*APC*BIRC5	hsa04919-hsa04390-TFTG
MED12*WNT4*LEF1*BIRC5	hsa04919-hsa04390-TFTG
MED12*WNT4*TCF7*BIRC5	hsa04919-hsa04390-TFTG
MED12*WNT4*TCF7L2*BIRC5	hsa04919-hsa04390-TFTG
MED12*WNT4*TCF7*BIRC5	hsa04919-hsa04550-TFTG
MED12*PIK3CD*FOXO3*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CD*NFKB1*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CD*RELA*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CD*NFKB1*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3CD*RELA*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3CD*NFKB1*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3CD*RELA*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3CD*NFKB1*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3CD*RELA*BIRC5	hsa04919-hsa04662-TFTG
