BlockName	Pathway	Length	Genes
hsa04010_CACNB3_MAPT	hsa04010	6	ARAF*BRAF*CACNB3*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNB3_MYC	hsa04010	6	ARAF*BRAF*CACNB3*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNB4_MAPT	hsa04010	6	ARAF*BRAF*CACNB4*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNB4_MYC	hsa04010	6	ARAF*BRAF*CACNB4*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CASP3_ATF4	hsa04010	5	ATF4*CASP3*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MKNK1*MKNK2*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_CASP3_ELK1	hsa04010	4	CASP3*ELK1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9
hsa04010_CASP3_FOS	hsa04010	4	CASP3*FOS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_JUN	hsa04010	4	CASP3*JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_JUND	hsa04010	4	CASP3*JUND*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_MAPT	hsa04010	4	CASP3*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT
hsa04010_CASP3_MYC	hsa04010	4	CASP3*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC
hsa04010_CASP3_NFATC1	hsa04010	4	CASP3*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_CASP3_NFKB1	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*NFKB1
hsa04010_CASP3_NFKB2	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*NFKB2
hsa04010_CASP3_RELA	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*RELA
hsa04010_CASP3_TP53	hsa04010	4	CASP3*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_CDC42_MAPT	hsa04010	4	CDC42*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT
hsa04010_CDC42_MYC	hsa04010	4	CDC42*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC
hsa04010_FASLG_ATF4	hsa04010	7	ATF4*DAXX*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_FASLG_ELK1	hsa04010	6	DAXX*ELK1*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_FASLG_FOS	hsa04010	7	DAXX*ELK1*ELK4*FAS*FASLG*FOS*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_FASLG_MAX	hsa04010	6	DAXX*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MAX
hsa04010_FASLG_TP53	hsa04010	6	DAXX*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*TP53
