BlockName	Pathway	Length	Genes
hsa04010_KRAS_JUND	hsa04010	4	JUND*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_KRAS_MYC	hsa04010	4	ARAF*BRAF*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC*RAF1
hsa04010_KRAS_NFATC1	hsa04010	4	KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_KRAS_NFATC3	hsa04010	4	KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_KRAS_NFKB1	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*NFKB1
hsa04010_KRAS_NFKB2	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*NFKB2
hsa04010_KRAS_RELA	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*RELA
hsa04010_KRAS_RELB	hsa04010	3	CHUK*IKBKB*IKBKG*KRAS*MAP3K1*RELB
hsa04010_KRAS_TP53	hsa04010	4	KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_MAP2K1_ATF4	hsa04010	3	ATF4*MAP2K1*MAPK1*MAPK3*MKNK1*MKNK2*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_MAP2K1_ELK1	hsa04010	2	ELK1*MAP2K1*MAPK1*MAPK3
hsa04010_MAP2K1_ELK4	hsa04010	2	ELK4*MAP2K1*MAPK1*MAPK3
hsa04010_MAP2K1_FOS	hsa04010	3	ELK1*ELK4*FOS*MAP2K1*MAPK1*MAPK3
hsa04010_MAP2K1_MYC	hsa04010	2	MAP2K1*MAPK1*MAPK3*MYC
hsa04010_MAP2K2_ATF4	hsa04010	3	ATF4*MAP2K2*MAPK1*MAPK3*MKNK1*MKNK2*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_MAP2K2_ELK1	hsa04010	2	ELK1*MAP2K2*MAPK1*MAPK3
hsa04010_MAP2K2_ELK4	hsa04010	2	ELK4*MAP2K2*MAPK1*MAPK3
hsa04010_MAP2K2_FOS	hsa04010	3	ELK1*ELK4*FOS*MAP2K2*MAPK1*MAPK3
hsa04010_MAP2K2_MYC	hsa04010	2	MAP2K2*MAPK1*MAPK3*MYC
hsa04010_MAP2K4_ARRB1	hsa04010	1	ARRB1*MAP2K4
hsa04010_MAP2K4_ARRB2	hsa04010	1	ARRB2*MAP2K4
hsa04010_MAP2K4_ATF4	hsa04010	6	ATF4*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MKNK1*MKNK2*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_MAP2K4_CRK	hsa04010	1	CRK*MAP2K4
hsa04010_MAP2K4_CRKL	hsa04010	1	CRKL*MAP2K4
hsa04010_MAP2K4_ELK1	hsa04010	2	ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_MAP2K4_ELK4	hsa04010	5	ELK4*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3
hsa04010_MAP2K4_FLNA	hsa04010	1	FLNA*MAP2K4
hsa04010_MAP2K4_FLNB	hsa04010	1	FLNB*MAP2K4
hsa04010_MAP2K4_FLNC	hsa04010	1	FLNC*MAP2K4
hsa04010_MAP2K4_FOS	hsa04010	2	FOS*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_MAP2K4_JUN	hsa04010	2	JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_MAP2K4_JUND	hsa04010	2	JUND*MAP2K4*MAPK10*MAPK8*MAPK9
