,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
59,hsa04010_HRAS+HRAS+KRAS+KRAS_CRK+CRKL+CRK+CRKL,hsa04010,HRAS;HRAS;KRAS;KRAS,CRK;CRKL;CRK;CRKL,hsa04010_HRAS_CRK;hsa04010_HRAS_CRKL;hsa04010_KRAS_CRK;hsa04010_KRAS_CRKL
60,hsa04010_HRAS+KRAS_ELK1+ELK1,hsa04010,HRAS;KRAS,ELK1;ELK1,hsa04010_HRAS_ELK1;hsa04010_KRAS_ELK1
61,hsa04010_HRAS+KRAS_ELK4+ELK4,hsa04010,HRAS;KRAS,ELK4;ELK4,hsa04010_HRAS_ELK4;hsa04010_KRAS_ELK4
62,hsa04010_HRAS+HRAS+HRAS+KRAS+KRAS+KRAS_FLNA+FLNB+FLNC+FLNA+FLNB+FLNC,hsa04010,HRAS;HRAS;HRAS;KRAS;KRAS;KRAS,FLNA;FLNB;FLNC;FLNA;FLNB;FLNC,hsa04010_HRAS_FLNA;hsa04010_HRAS_FLNB;hsa04010_HRAS_FLNC;hsa04010_KRAS_FLNA;hsa04010_KRAS_FLNB;hsa04010_KRAS_FLNC
63,hsa04010_HRAS+HRAS+KRAS+KRAS_FOS+JUN+FOS+JUN,hsa04010,HRAS;HRAS;KRAS;KRAS,FOS;JUN;FOS;JUN,hsa04010_HRAS_FOS;hsa04010_HRAS_JUN;hsa04010_KRAS_FOS;hsa04010_KRAS_JUN
64,hsa04010_HRAS+KRAS_JUND+JUND,hsa04010,HRAS;KRAS,JUND;JUND,hsa04010_HRAS_JUND;hsa04010_KRAS_JUND
65,hsa04010_HRAS+KRAS_MYC+MYC,hsa04010,HRAS;KRAS,MYC;MYC,hsa04010_HRAS_MYC;hsa04010_KRAS_MYC
66,hsa04010_HRAS+KRAS_NFATC1+NFATC1,hsa04010,HRAS;KRAS,NFATC1;NFATC1,hsa04010_HRAS_NFATC1;hsa04010_KRAS_NFATC1
67,hsa04010_HRAS+KRAS_NFATC3+NFATC3,hsa04010,HRAS;KRAS,NFATC3;NFATC3,hsa04010_HRAS_NFATC3;hsa04010_KRAS_NFATC3
68,hsa04010_HRAS+HRAS+HRAS+HRAS+KRAS+KRAS+KRAS+KRAS_NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA+RELB,hsa04010,HRAS;HRAS;HRAS;HRAS;KRAS;KRAS;KRAS;KRAS,NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA;RELB,hsa04010_HRAS_NFKB1;hsa04010_HRAS_NFKB2;hsa04010_HRAS_RELA;hsa04010_HRAS_RELB;hsa04010_KRAS_NFKB1;hsa04010_KRAS_NFKB2;hsa04010_KRAS_RELA;hsa04010_KRAS_RELB
