source	target
hsa04921	hsa04064
hsa04921	hsa04261
hsa04921	hsa04140
hsa04921	hsa04071
hsa04921	hsa04910
hsa04662	hsa04218
hsa04662	hsa04115
hsa04662	hsa04151
hsa04662	hsa04919
hsa04662	hsa04625
hsa04662	hsa04066
hsa04662	hsa04630
hsa04662	hsa04912
hsa04662	hsa04915
hsa04662	hsa04010
hsa04662	hsa04014
hsa04662	hsa04015
hsa04662	hsa04020
hsa04662	hsa04921
hsa04662	hsa04928
hsa04662	hsa04510
hsa04662	hsa04810
hsa04662	hsa04144
hsa04662	hsa04110
hsa04662	hsa04310
hsa04662	hsa04350
hsa04662	hsa04390
hsa04662	hsa04012
hsa04662	hsa04550
hsa04662	hsa00230
hsa04662	hsa00983
hsa04662	hsa04114
hsa04662	hsa04068
hsa04662	hsa04530
hsa04662	hsa04666
hsa04662	hsa00232
hsa04662	hsa04917
hsa04662	hsa04210
hsa04662	hsa04064
hsa04662	hsa04261
hsa04662	hsa04141
hsa04662	hsa04722
hsa04662	hsa04140
hsa04662	hsa04071
hsa04662	hsa04062
hsa04662	hsa04620
hsa04662	hsa04621
hsa04662	hsa04926
hsa04662	hsa04660
hsa04662	hsa04920
hsa04662	hsa04072
hsa04662	hsa04540
hsa04662	hsa00240
hsa04662	hsa04657
hsa04662	hsa04725
hsa04662	hsa00860
hsa04915	hsa04012
hsa04915	hsa04014
hsa04915	hsa04071
hsa04915	hsa04218
hsa04915	hsa04010
hsa04915	hsa04151
hsa04915	hsa04015
hsa04915	hsa04020
hsa04915	hsa04066
hsa04915	hsa04068
hsa04915	hsa04072
hsa04915	hsa04510
hsa04915	hsa04540
hsa04915	hsa04630
hsa04915	hsa04810
hsa04915	hsa04912
hsa04915	hsa04928
hsa04915	hsa04110
hsa04915	hsa04390
hsa04915	hsa04919
hsa04915	hsa04310
hsa04915	hsa04550
hsa04915	hsa04114
hsa04915	hsa04115
hsa04915	hsa04666
hsa04915	hsa04917
hsa04915	hsa04210
hsa04915	hsa04340
hsa04915	hsa04064
hsa04915	hsa04722
hsa04915	hsa04024
hsa04915	hsa04625
hsa04915	hsa04922
hsa04915	hsa04144
hsa04915	hsa04921
hsa04915	hsa04350
hsa04915	hsa00230
hsa04915	hsa00240
hsa04915	hsa00983
hsa04915	hsa04530
hsa04915	hsa00232
hsa04915	hsa04141
hsa04915	hsa04725
hsa04915	hsa04261
hsa04915	hsa04140
hsa04915	hsa00860
hsa04390	hsa04310
hsa04390	hsa04218
hsa04390	hsa04115
hsa04390	hsa04110
hsa04390	hsa04151
hsa04390	hsa04625
hsa04390	hsa04668
hsa04390	hsa04064
hsa04390	hsa04621
hsa04390	hsa04928
hsa04390	hsa04066
hsa04390	hsa04010
hsa04390	hsa04014
hsa04390	hsa04015
hsa04390	hsa04020
hsa04390	hsa04810
hsa04390	hsa04630
hsa04390	hsa04915
hsa04390	hsa04144
hsa04390	hsa04510
hsa04390	hsa04350
hsa04390	hsa00230
hsa04390	hsa00983
hsa04390	hsa00240
hsa04390	hsa04114
hsa04390	hsa04068
hsa04390	hsa04530
hsa04390	hsa04666
hsa04390	hsa04919
hsa04390	hsa04550
hsa04390	hsa04340
hsa04390	hsa04141
hsa04390	hsa04210
hsa04390	hsa04722
hsa04390	hsa04140
hsa04390	hsa04071
hsa04390	hsa00860
hsa04390	hsa04072
hsa04390	hsa04012
hsa04390	hsa04917
hsa04390	hsa04725
hsa04390	hsa04912
hsa04390	hsa04540
hsa04390	hsa04371
hsa04550	hsa04310
hsa04550	hsa04390
hsa04550	hsa04115
hsa04550	hsa04218
hsa04550	hsa04010
hsa04550	hsa04014
hsa04550	hsa04015
hsa04550	hsa04066
hsa04550	hsa04072
hsa04550	hsa04151
hsa04550	hsa04810
hsa04550	hsa04020
hsa04550	hsa04510
hsa04550	hsa04110
hsa04550	hsa04630
hsa04550	hsa00230
hsa04550	hsa00240
hsa04550	hsa04114
hsa04550	hsa04210
hsa04550	hsa04012
hsa04550	hsa04915
hsa04550	hsa04928
hsa04550	hsa04350
hsa04550	hsa04530
hsa04550	hsa04340
hsa04550	hsa04071
hsa04550	hsa04620
hsa04550	hsa04625
hsa04550	hsa04657
hsa04550	hsa04660
hsa04550	hsa04926
hsa04550	hsa04668
hsa04550	hsa04912
hsa04550	hsa04540
hsa04550	hsa04068
hsa04550	hsa04917
hsa04550	hsa04722
hsa04550	hsa04919
hsa04550	hsa04062
hsa04550	hsa04152
hsa04550	hsa04371
hsa04550	hsa04662
hsa04550	hsa04144
hsa04550	hsa04921
hsa04550	hsa00983
hsa04550	hsa04910
hsa04550	hsa04666
hsa04550	hsa04725
hsa04550	hsa04141
hsa04550	hsa04140
hsa04550	hsa04064
hsa04550	hsa00860
hsa04071	hsa04115
hsa04071	hsa04310
hsa04071	hsa04218
hsa04071	hsa04151
hsa04071	hsa04625
hsa04071	hsa04010
hsa04071	hsa04014
hsa04071	hsa04015
hsa04071	hsa04928
hsa04071	hsa04915
hsa04071	hsa04020
hsa04071	hsa04810
hsa04071	hsa04510
hsa04071	hsa04630
hsa04071	hsa04066
hsa04071	hsa04144
hsa04071	hsa04912
hsa04071	hsa04012
hsa04071	hsa04110
hsa04071	hsa04390
hsa04071	hsa04350
hsa04071	hsa04919
hsa04071	hsa04550
hsa04071	hsa00230
hsa04071	hsa00240
hsa04071	hsa00983
hsa04071	hsa04114
hsa04071	hsa04068
hsa04071	hsa04530
hsa04071	hsa04666
hsa04071	hsa04917
hsa04071	hsa04210
hsa04071	hsa04064
hsa04071	hsa04340
hsa04071	hsa04722
hsa04071	hsa04725
hsa04071	hsa04140
hsa04071	hsa04620
hsa04922	hsa00230
hsa04015	hsa04010
hsa04015	hsa04071
hsa04015	hsa04218
hsa04015	hsa04620
hsa04015	hsa04625
hsa04015	hsa04657
hsa04015	hsa04660
hsa04015	hsa04926
hsa04015	hsa04390
hsa04015	hsa04151
hsa04015	hsa04919
hsa04015	hsa04012
hsa04015	hsa04014
hsa04015	hsa04024
hsa04015	hsa04662
hsa04015	hsa04915
hsa04015	hsa04921
hsa04015	hsa04310
hsa04015	hsa04912
hsa04015	hsa04668
hsa04015	hsa04062
hsa04015	hsa04152
hsa04015	hsa04371
hsa04015	hsa04722
hsa04015	hsa04928
hsa04015	hsa04068
hsa04015	hsa04917
hsa04015	hsa04350
hsa04015	hsa04114
hsa04015	hsa04910
hsa04015	hsa04810
hsa04015	hsa04530
hsa04015	hsa04510
hsa04015	hsa04210
hsa04015	hsa04725
hsa04072	hsa04010
hsa04072	hsa04012
hsa04072	hsa04014
hsa04072	hsa04024
hsa04072	hsa04218
hsa04072	hsa04620
hsa04072	hsa04625
hsa04072	hsa04657
hsa04072	hsa04660
hsa04072	hsa04662
hsa04072	hsa04915
hsa04072	hsa04919
hsa04072	hsa04921
hsa04072	hsa04926
hsa04072	hsa04668
hsa04072	hsa04371
hsa04072	hsa04722
hsa04072	hsa04912
hsa04072	hsa04928
hsa04072	hsa04068
hsa04072	hsa04350
hsa04072	hsa04917
hsa04072	hsa04114
hsa04072	hsa04210
hsa04072	hsa04510
hsa04072	hsa04910
hsa04072	hsa04152
hsa04072	hsa04062
hsa04072	hsa04725
hsa04630	hsa04010
hsa04630	hsa04012
hsa04630	hsa04014
hsa04630	hsa04024
hsa04630	hsa04218
hsa04630	hsa04660
hsa04630	hsa04662
hsa04630	hsa04915
hsa04630	hsa04919
hsa04630	hsa04921
hsa04630	hsa04926
hsa04630	hsa04371
hsa04630	hsa04625
hsa04630	hsa04722
hsa04630	hsa04912
hsa04630	hsa04928
hsa04630	hsa04068
hsa04630	hsa04917
hsa04630	hsa04210
hsa04630	hsa04510
hsa04630	hsa04910
hsa04630	hsa04152
hsa04630	hsa04071
hsa04630	hsa04550
hsa04630	hsa04115
hsa04630	hsa04110
hsa04630	hsa04151
hsa04630	hsa04621
hsa04630	hsa04066
hsa04630	hsa04015
hsa04630	hsa04020
hsa04630	hsa04810
hsa04630	hsa04144
hsa04630	hsa04350
hsa04630	hsa04310
hsa04630	hsa00230
hsa04630	hsa00983
hsa04630	hsa00240
hsa04630	hsa04114
hsa04630	hsa04530
hsa04630	hsa04666
hsa04630	hsa04340
hsa04630	hsa04141
hsa04630	hsa04140
hsa04630	hsa04064
hsa04630	hsa04261
hsa04630	hsa04725
hsa04630	hsa04390
hsa04630	hsa00860
hsa04062	hsa04010
hsa04062	hsa04012
hsa04062	hsa04014
hsa04062	hsa04024
hsa04062	hsa04218
