BlockName	Pathway	Length	Genes
hsa04010_NF1_RELA	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NRAS*RELA*RRAS*RRAS2
hsa04010_NF1_RELB	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NRAS*RELB*RRAS*RRAS2
hsa04010_NF1_TP53	hsa04010	5	HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NRAS*RRAS*RRAS2*TP53
hsa04010_PRKACA_MYC	hsa04010	5	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKACA*RAP1A*RAP1B
hsa04010_PRKACB_MYC	hsa04010	5	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKACB*RAP1A*RAP1B
hsa04010_PRKCA_JUN	hsa04010	5	HRAS*JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NRAS*PRKCA*RRAS*RRAS2
hsa04010_PRKCA_MYC	hsa04010	4	MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKCA*RAF1
hsa04010_PRKCA_NFKB1	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NFKB1*NRAS*PRKCA*RRAS*RRAS2
hsa04010_PRKCA_RELA	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NRAS*PRKCA*RELA*RRAS*RRAS2
hsa04010_PRKCA_TP53	hsa04010	5	HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NRAS*PRKCA*RRAS*RRAS2*TP53
hsa04010_PRKCB_JUN	hsa04010	5	HRAS*JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NRAS*PRKCB*RRAS*RRAS2
hsa04010_PRKCB_MYC	hsa04010	4	MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKCB*RAF1
hsa04010_PRKCB_NFKB1	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NFKB1*NRAS*PRKCB*RRAS*RRAS2
hsa04010_PRKCB_RELA	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NRAS*PRKCB*RELA*RRAS*RRAS2
hsa04010_PRKCB_TP53	hsa04010	5	HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NRAS*PRKCB*RRAS*RRAS2*TP53
hsa04010_RAC1_JUN	hsa04010	4	JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*RAC1
hsa04010_RAC1_MYC	hsa04010	4	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC*RAC1
hsa04010_RAC1_NFKB1	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K1*NFKB1*RAC1
hsa04010_RAC1_RELA	hsa04010	3	CHUK*IKBKB*IKBKG*MAP3K1*RAC1*RELA
hsa04010_RAC1_TP53	hsa04010	4	MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*RAC1*TP53
hsa04010_RAF1_ELK1	hsa04010	3	ELK1*MAP2K1*MAP2K2*MAPK1*MAPK3*RAF1
hsa04010_RAF1_MYC	hsa04010	3	MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*RAF1
hsa04010_RAP1A_MYC	hsa04010	4	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*RAP1A
hsa04010_RAP1B_MYC	hsa04010	4	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*RAP1B
